wavelength flux error flag
3691.0 0.0 1.0159300613024874e-21 0
3692.0 0.0 1.0159300613024874e-21 0
3693.0 0.0 1.0159300613024874e-21 0
3694.0 0.0 1.0159300613024874e-21 0
3695.0 0.0 1.0159300613024874e-21 0
3696.0 0.0 1.0159300613024874e-21 0
3697.0 0.0 1.0159300613024874e-21 0
3698.0 0.0 1.0159300613024874e-21 0
3699.0 0.0 1.0159300613024874e-21 0
3700.0 0.0 1.0159300613024874e-21 0
3701.0 0.0 1.0159300613024874e-21 0
3702.0 0.0 1.0159300613024874e-21 0
3703.0 0.0 1.0159300613024874e-21 0
3704.0 0.0 1.0159300613024874e-21 0
3705.0 0.0 1.0159300613024874e-21 0
3706.0 0.0 1.0159300613024874e-21 0
3707.0 0.0 1.0159300613024874e-21 0
3708.0 0.0 1.0159300613024874e-21 0
3709.0 0.0 1.0159300613024874e-21 0
3710.0 0.0 1.0159300613024874e-21 0
3711.0 0.0 1.0159300613024874e-21 0
3712.0 0.0 1.0159300613024874e-21 0
3713.0 0.0 1.0159300613024874e-21 0
3714.0 0.0 1.0159300613024874e-21 0
3715.0 0.0 1.0159300613024874e-21 0
3716.0 0.0 1.0159300613024874e-21 0
3717.0 0.0 1.0159300613024874e-21 0
3718.0 0.0 1.0159300613024874e-21 0
3719.0 0.0 1.0159300613024874e-21 0
3720.0 0.0 1.0159300613024874e-21 0
3721.0 0.0 1.0159300613024874e-21 0
3722.0 0.0 1.0159300613024874e-21 0
3723.0 0.0 1.0159300613024874e-21 0
3724.0 0.0 1.0159300613024874e-21 0
3725.0 0.0 1.0159300613024874e-21 0
3726.0 0.0 1.0159300613024874e-21 0
3727.0 0.0 1.0159300613024874e-21 0
3728.0 0.0 1.0159300613024874e-21 0
3729.0 0.0 1.0159300613024874e-21 0
3730.0 0.0 1.0159300613024874e-21 0
3731.0 0.0 1.0159300613024874e-21 0
3732.0 0.0 1.0159300613024874e-21 0
3733.0 0.0 1.0159300613024874e-21 0
3734.0 0.0 1.0159300613024874e-21 0
3735.0 0.0 1.0159300613024874e-21 0
3736.0 0.0 1.0159300613024874e-21 0
3737.0 0.0 1.0159300613024874e-21 0
3738.0 0.0 1.0159300613024874e-21 0
3739.0 0.0 1.0159300613024874e-21 0
3740.0 0.0 1.0159300613024874e-21 0
3741.0 0.0 1.0159300613024874e-21 0
3742.0 0.0 1.0159300613024874e-21 0
3743.0 0.0 1.0159300613024874e-21 0
3744.0 0.0 1.0159300613024874e-21 0
3745.0 0.0 1.0159300613024874e-21 0
3746.0 0.0 1.0159300613024874e-21 0
3747.0 0.0 1.0159300613024874e-21 0
3748.0 0.0 1.0159300613024874e-21 0
3749.0 0.0 1.0159300613024874e-21 0
3750.0 0.0 1.0159300613024874e-21 0
3751.0 0.0 1.0159300613024874e-21 0
3752.0 0.0 1.0159300613024874e-21 0
3753.0 0.0 1.0159300613024874e-21 0
3754.0 0.0 1.0159300613024874e-21 0
3755.0 0.0 1.0159300613024874e-21 0
3756.0 0.0 1.0159300613024874e-21 0
3757.0 0.0 1.0159300613024874e-21 0
3758.0 0.0 1.0159300613024874e-21 0
3759.0 0.0 1.0159300613024874e-21 0
3760.0 0.0 1.0159300613024874e-21 0
3761.0 0.0 1.0159300613024874e-21 0
3762.0 0.0 1.0159300613024874e-21 0
3763.0 0.0 1.0159300613024874e-21 0
3764.0 0.0 1.0159300613024874e-21 0
3765.0 0.0 1.0159300613024874e-21 0
3766.0 0.0 1.0159300613024874e-21 0
3767.0 0.0 1.0159300613024874e-21 0
3768.0 0.0 1.0159300613024874e-21 0
3769.0 2.53200117971312e-19 1.0159300613024874e-21 0
3770.0 6.656824610144926e-18 1.0159300613024874e-21 0
3771.0 1.2433749769201208e-17 1.0159300613024874e-21 0
3772.0 9.998242601049495e-18 1.0159300613024874e-21 0
3773.0 8.099932669774561e-18 1.0159300613024874e-21 0
3774.0 1.0917623969804853e-17 1.0159300613024874e-21 0
3775.0 1.3456816881813346e-17 1.0159300613024874e-21 0
3776.0 1.4190273431622566e-17 1.0159300613024874e-21 0
